archivo_origen,anio,tipo_violencia_archivo,usuario,fecha,anio_publicacion,anio_mencionado,texto_original,texto_limpio,tipo_contenido,nivel_confianza,lugar_detectado,municipio_alcaldia,estado,nivel_ubicacion,violencia_mujer,es_basura,motivo_basura
violenciapsicologica2024.txt,2024,violencia psicológica,,,2024,,"youtube.com
REDES DE APOYO: CLAVE CONTRA VIOLENCIA PSICOLÓGICA
En México, la mitad de las mujeres de 15 años en adelante reconoce haber vivido violencia psicológica. Este tipo de agresiones son difíciles de identificar d...",youtube com redes de apoyo clave contra violencia psicologica en mexico la mitad de las mujeres de 15 anos en adelante reconoce haber vivido violencia psicologica este tipo de agresiones son dificiles de identificar d,institucional,0.8,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@OnmpriNacional,"Dec 18, 2024",2024,2024,"ONMPRI NACIONAL
@OnmpriNacional
·
Dec 18, 2024
La violencia psicológica sigue siendo la más frecuente en México. Más de una de cada tres mujeres ha enfrentado este tipo de violencia en su relación de pareja. ¡Es momento de romper el silencio y actuar!
Image
Xitlalic Ceja García and 5 others",onmpri nacional dec 18 2024 la violencia psicologica sigue siendo la mas frecuente en mexico mas de una de cada tres mujeres ha enfrentado este tipo de violencia en su relacion de pareja es momento de romper el silencio y actuar xitlalic ceja garcia and 5 others,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@ProyectoPuente,"Nov 22, 2024",2024,2024,"Proyecto Puente
@ProyectoPuente
·
Nov 22, 2024
🔴 Más de la mitad de las mujeres en #México padecen de violencia psicológica o sus secuelas, revela estudio.",proyecto puente nov 22 2024 mas de la mitad de las mujeres en mexico padecen de violencia psicologica o sus secuelas revela estudio,otro,0.2,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,,https://proyectopuente.com.mx/2024/11/22/mas-de-la-mitad-de-las-mujeres-en-mexico-padecen-de-violencia-psicologica-o-sus-secuelas-revela-estudio/,2024,,https://proyectopuente.com.mx/2024/11/22/mas-de-la-mitad-de-las-mujeres-en-mexico-padecen-de-violencia-psicologica-o-sus-secuelas-revela-estudio/,,otro,0.2,,,Nacional,no_detectado,incierto,si,texto_vacio_o_muy_corto
violenciapsicologica2024.txt,2024,violencia psicológica,@DonajiAMarin,"Feb 6, 2024",2024,2024,"Corriente Alterna UNAM
@Alterna_MX
·
Feb 6, 2024
Según cifras de 
@INEGI_Informa
 34.5% de las mujeres en México sufren violencia psicológica en el hogar📈. 
@DonajiAMarin
 explora las implicaciones de estas agresiones  en el noviazgo.👇",corriente alterna unam feb 6 2024 segun cifras de 34 5 de las mujeres en mexico sufren violencia psicologica en el hogar explora las implicaciones de estas agresiones en el noviazgo,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@sdpnoticias,"Nov 25, 2024",2024,2024,"El Economista
@eleconomista
·
Oct 19, 2024
🤔 #SabíasQué | la violencia económica ocupa el segundo lugar en el abuso que viven las mujeres en México, incluso por encima de la violencia psicológica? El empoderamiento financiero puede ser nuestra mejor defensa.  📊✋ #FinanzasPersonales  https://eleconomista.com.mx/finanzaspersonales/5-tipos-violencia-economica-y-prevenirlas-20241013-729762.html?mrfhud=true
Square profile picture
SDP Noticias
@sdpnoticias
·
Nov 25, 2024
Replying to 
@sdpnoticias
3️⃣ 🚨 En México, el 70.1 % de las mujeres de 15 años o más ha enfrentado violencia al menos una vez en su vida. La violencia psicológica (51.6 %) y sexual (49.7 %) son las más comunes. No son números, son historias de dolor que no deben repetirse 💔
Image",el economista oct 19 2024 sabiasque la violencia economica ocupa el segundo lugar en el abuso que viven las mujeres en mexico incluso por encima de la violencia psicologica el empoderamiento financiero puede ser nuestra mejor defensa finanzaspersonales sdp noticias nov 25 2024 3 en mexico el 70 1 de las mujeres de 15 anos o mas ha enfrentado violencia al menos una vez en su vida la violencia psicologica 51 6 y sexual 49 7 son las mas comunes no son numeros son historias de dolor que no deben repetirse,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@TelevisaDigital,"Sep 3, 2024",2024,2024,"Juan Hernández
@JuanHer28037729
·
Sep 3, 2024
Replying to 
@_elan_
Televisa y patrocinadores son responsables de apología del delito con el violentador de mujeres AM, que no entienden que  la violencia psicológica,  es igual o peor que la física. 
@TelevisaDigital",juan hernandez sep 3 2024 televisa y patrocinadores son responsables de apologia del delito con el violentador de mujeres am que no entienden que la violencia psicologica es igual o peor que la fisica,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,@PostaMexico,"Nov 10, 2024",2024,2024,"POSTA México
@PostaMexico
·
Nov 10, 2024
⭕ No existe ley de protección para las mujeres contra la violencia psicológica, que afecta su salud mental y emocional.",posta mexico nov 10 2024 no existe ley de proteccion para las mujeres contra la violencia psicologica que afecta su salud mental y emocional,estadistica,0.9,,,Nacional,no_detectado,si,no,
violenciapsicologica2024.txt,2024,violencia psicológica,,,2024,,📣 https://postamexico.com/.../existen-leyes.../vl1631523,,otro,0.2,,,Nacional,no_detectado,incierto,si,texto_vacio_o_muy_corto
violenciapsicologica2024.txt,2024,violencia psicológica,@CANAL44TV,"Nov 21, 2024",2024,2024,"Canal 44
@CANAL44TV
·
Nov 21, 2024
🙇‍♀️ La violencia psicológica contra las mujeres es una agresión invisibilizada que afecta a más de la mitad de las mujeres en #México y deja secuelas económicas y emocionales a largo plazo, afirma estudio.👇
https://udgtv.com/noticias/mas-de-la-mitad-de-las-mexicanas-padecen-de-violencia-psicologica-o-sus-secuelas-/249094",canal 44 nov 21 2024 la violencia psicologica contra las mujeres es una agresion invisibilizada que afecta a mas de la mitad de las mujeres en mexico y deja secuelas economicas y emocionales a largo plazo afirma estudio,estadistica,0.9,,,Nacional,no_detectado,si,no,
