archivo_origen,codigo_indicador,nombre_indicador,categoria_indicador,ambito,agresor,periodo_medicion,poblacion_objetivo,entidad,anio,valor,unidad,fecha_referencia
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Zacatecas,2006,41.59,porcentaje,2006-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Aguascalientes,2011,41.4,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Baja California,2011,43.82,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Baja California Sur,2011,33.97,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Campeche,2011,36.79,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Coahuila,2011,34.08,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Colima,2011,41.63,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Chiapas,2011,25.53,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Chihuahua,2011,42.57,porcentaje,2011-01-01
data1.csv,ENDIREH_AYUDA_INSTITUCION_PAREJA_FS,Proporción de mujeres de 15 años y más que han sufrido violencia física y/o sexual por parte de su actual o última pareja y que han acudido al menos a una institución,busqueda_de_ayuda,pareja,pareja_actual_o_ultima,alguna_vez,mujeres de 15 años y más,Ciudad de México,2011,56.89,porcentaje,2011-01-01
